Movie_Id,Title,Status,Language,Budget,Revenue,Runtime,Release_Year,Release_Date,Popularity,Vote_Average,Vote_Count,Crew_Name,Actor_Name,Genre_Name,Company_Name,Country_Name
5,Four Rooms,Released,En,4000000,4300000,98,1995,09-12-1995 00:00,22.87623,6.5,530,Alexandre Rockwell,Tim Roth,Crime,Miramax Films,United States Of America
11,Star Wars,Released,En,11000000,775398007,121,1977,25-05-1977 00:00,126.393695,8.1,6624,George Lucas,Mark Hamill,Adventure,Lucasfilm,United States Of America
12,Finding Nemo,Released,En,94000000,940335536,100,2003,30-05-2003 00:00,85.688789,7.6,6122,Andrew Stanton,Albert Brooks,Animation,Pixar Animation Studios,United States Of America
13,Forrest Gump,Released,En,55000000,677945399,142,1994,06-07-1994 00:00,138.133331,8.2,7927,Robert Zemeckis,Tom Hanks,Comedy,Paramount Pictures,United States Of America
14,American Beauty,Released,En,15000000,356296601,122,1999,15-09-1999 00:00,80.878605,7.9,3313,Sam Mendes,Kevin Spacey,Drama,Dreamworks Skg,United States Of America
16,Dancer in the Dark,Released,En,12800000,40031879,140,2000,17-05-2000 00:00,22.022228,7.6,377,Lars Von Trier,Björk,Drama,Fine Line Features,Argentina
18,The Fifth Element,Released,En,90000000,263920180,126,1997,07-05-1997 00:00,109.528572,7.3,3885,Luc Besson,Bruce Willis,Adventure,Columbia Pictures,France
19,Metropolis,Released,De,92620000,650422,153,1927,10-01-1927 00:00,32.351527,8,657,Fritz Lang,Brigitte Helm,Drama,Paramount Pictures,Germany
20,My Life Without Me,Released,En,0,9726954,106,2003,07-03-2003 00:00,7.958831,7.2,77,Isabel Coixet,Sarah Polley,Drama,El Deseo,Canada
22,Pirates of the Caribbean: The Curse of the Black Pearl,Released,En,140000000,655011224,143,2003,09-07-2003 00:00,271.972889,7.5,6985,Gore Verbinski,Johnny Depp,Adventure,Walt Disney Pictures,United States Of America
24,Kill Bill: Vol. 1,Released,En,30000000,180949000,111,2003,10-10-2003 00:00,79.754966,7.7,4949,Quentin Tarantino,Uma Thurman,Action,Miramax Films,United States Of America
25,Jarhead,Released,En,72000000,96889998,125,2005,04-11-2005 00:00,32.227223,6.6,765,Sam Mendes,Jamie Foxx,Drama,Universal Pictures,Germany
28,Apocalypse Now,Released,En,31500000,89460381,153,1979,15-08-1979 00:00,49.973462,8,2055,Francis Ford Coppola,Martin Sheen,Drama,United Artists,United States Of America
